Coquis disponible,Nombre de la vía,General,Zona,Sector,Orientación de la pared,Grado en libre,Grado en artificial,Tipo de escalada,Longitud,Largos,Aperturistas,Fecha de apertura,Año de apertura,Regulaciones,Observaciones,Material,Parking,coords parking,lat.via,lon.via,precisión,Aproximación,Descenso,Descripción,distance,formatted,lat,lon,name,housenumber,street,district,postcode,city,county,state,country,country_code,attribution,attribution_license,attribution_url
sí,"Cap Vermell, Cap Forat",Llevant,Canyamel,,S y E,6b,,clásica,850,,Joan Riera (es Cosí) y Christopher Ornée,2021-2022,2022,,"info en un archivo doc con tramos de la vía dibujados sobre foto y otros tramos dibujados en papel.
Observaciones de los aperturistas:
peus de moix molt commodes, evitar dies caloroses/dur capes de roba, cosir la via, cordades equilibrades i rodades en paret.

els parabolts al primer tram son d’origen desconegut, la corda del rapel es una guia. NO RAPELAR d’ELLA, la via es en general EXPO, existeixen dues escapades pero la roca es inestable, hi ha trams que es poden fer caminant i desencordats, existeixen varies vivacs (triangles verds)","cordes dobles ~40m, 1 joc friends fins #3, 1 joc aliens (petits), 1 joc tascons (10 peces), casc, 7-10 anells (alguns fins)

OPCIONAL: Llenties, Micro aliens, 2* joc de friends petits, walkies",Parking de las Coves de Artà,"39.656677867181315, 3.4484648645955525",39.6556428923684,3.4515194665763,digital,"des de parking 2 (Coves d’Artà) hi ha una porta (privada) que condueix a una escala que te duu al penya segat i a una curta via ferrata de pescadors. Des d’allà baixar per mates a la roca.

parking 1 es davant una casa al final de  Carrer Ermita

P1-P2: caminant 10 min (baixant directa per la part sur de la casa)
Clot des Fonoll Mari - P1: 30-45 min",existeixen dues escapades pero la roca es inestable,,294.314331327455,"Cr Ermita, 83, 7589 Capdepera, Espanya",39.657422,3.448974,,83,Cr Ermita,,7589,Capdepera,Illes Balears,Illes Balears,Espanya,es,© OpenAddresses contributors,BSD-3-Clause License,
sí,Micro Aventuras,Tramuntana Baja,Sa Gubia,Silicona,"S, sol todo el día, evitar días calurosos",6b,"6+, A1",clásica,600,17,redescubierta por José Luis Martinez (Cohete) y Rafa Ramirez,,,,el tiempo requerido para escalar la vía depende mucho de los tramos q se escalen en ensamble.,"Friends (0.1 hasta 1), fisureros, lazos para puentes de roca (bastantes)",Club Hípico la Gubia,"39.687909, 2.683890",39.693451,2.67354,digital,,desde la cima bajar por un camino hasta la carretera de Soller (Restaurante Can Penasso),,28.9548520913483,"Sa Gúbia - Sector Excàlibur, camí de s'Alqueria Blanca, 07110 Bunyola, Espanya",39.6937108,2.6735629,Sa Gúbia - Sector Excàlibur,,camí de s'Alqueria Blanca,,7110,Bunyola,Serra de Tramuntana,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
sí,Set de Sal,Norte,Cavall Bernat,,,,"6c+, A0",clásica,540,13,"Adrià Chueca, Ricard Darder",2014,2014,,sinuosa,"via totalmente desequipada, exposada. Llevar 6 pitons variats (universals i V), 2 jocs aliens, 2 jocs Camalots (1-4), cordinos",,,39.930317,3.087801,digital,,,,397.312360094344,"el Cavall Bernat, Pollença, Espanya",39.927441,3.085036,,,el Cavall Bernat,,,Pollença,Illes Balears,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
sí,Caramono,Tramuntana Costa,S’entreforc,este,NE,7a+,,clásica,435,13,,,,,,"cuerdas dobles, 10 expreses, 6-7 anillos de cinta, friends juego de Totem completo, añadir Camalot 2, 3, 4. Opcional: semáforo de Alien, fisureros",Parking amplio (15 coches) en el km25. Junto al Restaurante Escorca.,"39.825967, 2.847861",39.835428,2.834543,digital,desde el restaurante Escorca descender a s’Entreforc (45min a 1h).,"Se puede salir por arriba caminando (1h) hasta el “Nudo de la Corbata” en la carretera Ma-2141 (39.832304, 2.815915)",,67.9553193834954,"torrent des Gorg Blau, Escorca, Espanya",39.835113,2.833861,,,torrent des Gorg Blau,,,Escorca,Illes Balears,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
no,West Buttress,Norte,Cavall Bernat,,,6b,,clásica,400,,,,,,única info en el archivo Sector – Cavall Bernat,,,,39.9266746725371,3.08324568651671,digital,,,,174.833785428475,"el Cavall Bernat, Pollença, Espanya",39.927441,3.085036,,,el Cavall Bernat,,,Pollença,Illes Balears,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
sí,Espolón SW,Tramuntana Alta,Son Torrella,Pa de Figa de Son Torrella,"SE, sol hasta las 15h",4+,,clásica,360,,,,,se puede pedir permiso a la propietaria via un formulario en la web de la FBME,,,base Militar de Cúber,"39.794884, 2.789562",39.805465,2.79994,digital,,,,537.147237946344,"Ds Base Puig Mayor, 2, 7315 Escorca, Espanya",39.808521,2.79507,,2,Ds Base Puig Mayor,,7315,Escorca,Illes Balears,Illes Balears,Espanya,es,© OpenAddresses contributors,BSD-3-Clause License,
sí,Normal al Cornador Petit,Tramuntana Alta,Alfabia,Cornador petit,N,,,clásica,360,10,Adolfo Gregorio y Juan Valiente,29 agosto 1971,1971,,,,,,39.761674,2.742659,digital,,,,413.767652823632,"Ds Sector Num 4, 1759, Sóller, Espanya",39.764824,2.745236,,1759,Ds Sector Num 4,,,Sóller,Illes Balears,Illes Balears,Espanya,es,© OpenAddresses contributors,BSD-3-Clause License,
sí,Variante de la Normal al Cornador Petit,Tramuntana Alta,Alfabia,Cornador petit,N,,,clásica,360,10,Pep Xisco y Andrés Ferrer,,,,,,,,39.761674,2.742659,digital,,,,413.767652823632,"Ds Sector Num 4, 1759, Sóller, Espanya",39.764824,2.745236,,1759,Ds Sector Num 4,,,Sóller,Illes Balears,Illes Balears,Espanya,es,© OpenAddresses contributors,BSD-3-Clause License,
sí,La Nit du moscards,Norte,Cavall Bernat,,,4+,,clásica,350,8,Miguel Ángel Torandell y Juanma,17-18 octubre 2014,2014,,,,,,39.9266746725371,3.08324568651671,digital,,,,174.833785428475,"el Cavall Bernat, Pollença, Espanya",39.927441,3.085036,,,el Cavall Bernat,,,Pollença,Illes Balears,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
sí,Sagitari,Tramuntana Costa,S’entreforc,este,NE,7a+,6c oblig,deportiva,340,9,Derek Watson y Isidre Bisbal,2001,2001,,"Aunque la ruta fue abierta con un concepto deportivo, tiene algunas secciones con algo de ""aire"" entre chapas. Para hacerla con garantias de disfrutar, mejor moverse cómodo en el 7a. E-NE. La pared recibe menos sol del esperado. Sombra en toda pared a las 13h en diciembre y a las 15h en junio","15 cintas express (algunas largas), cuerdas dobles. Conviene llevar cuerda doble por que el L8 discurre por roca con filos muy cortantes q podrían seccionar la cuerda.",Parking amplio (15 coches) en el km25. Junto al Restaurante Escorca.,"39.825967, 2.847861",39.835428,2.834543,digital,"se situa a los pies del Cingle des Niu des Voltor, la cual nos queda a la izquierda segun bajamos el Torrent de Pareis desde s´Entreforc. Para localizar la ruta recorrer el cañon dirección Sa Calobra (unos 200 mts desde el mismo Entreforc). El inicio está situado entre un gran caos de bloques, el cual hay que atravesar desde el sendero. El pie de via son unos pequeños troncos empotrados entre la pared y un gran bloque (hay una pequeña balma donde poder dejar las mochilas)","Hay 3 opciones:
1a) Rapelar por la vía
1b) Desde la R4 está la opción de rapelar a una reunión situada encima de una cueva, desde aquí bajar a otra R situada debajo de la cueva y luego a la R3 (más rapeles pero menos opciones de enganchar la cuerda)
2) Caminar: solo adecuada para gente con amplio conocimiento de la zona: 2h30 caminando fuera de camino hasta el “Nudo de Corbata” de la carretera que baja a Sa Calobra.","L1: 6c 40mts (entrada un poco a bloque)
L2: 6b 40mts
L3: 6b 42mts
L4: 6c 25mts
L5: 6b+ 40mts (bonita reunión en una pequeña cueva con magníficas vistas)
L6: 6b 35mts
L7: 6c 40mts (lapiaz, escalada excepcional pero algo expo.)
L8: 7a+ 40mts (muro técnico de gota de agua y regletas)
L9: 7a 38mts",67.9553193834954,"torrent des Gorg Blau, Escorca, Espanya",39.835113,2.833861,,,torrent des Gorg Blau,,,Escorca,Illes Balears,Illes Balears,Espanya,es,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
